,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
Public,11719,33840,39968,41987,65059,151849,272503,367480,377840,327214,287610,274594,281584,294014,316540,345952,364305,368135,360471,322855,276286,235851,201702,169201,11719,33840,39968,41987,65059,151849,272503,367480,377840,327214,287610,274594,281584,294014,316540,345952,364305,368135,360471,322855,276286,235851,201702,169201,11719,33840,39968,41987,65059,151849,272503,367480,377840,327214,287610,274594,281584,294014,316540,345952,364305,368135,360471,322855,276286,235851,201702,169201,11719,33840,39968,41987,65059,151849,272503,367480,377840,327214,287610,274594,281584,294014,316540,345952,364305,368135,360471,322855,276286,235851,201702,169201,11719,33840,39968,41987,65059,151849,272503,367480,377840,327214,287610,274594,281584,294014,316540,345952,364305,368135,360471,322855,276286,235851,201702,169201,5009,13448,15006,14861,18729,32982,52157,69700,79305,82240,83607,85536,88891,91921,94395,95826,96851,95372,91593,85401,77993,70640,62408,54078,4994,13440,14936,14774,17638,28853,42886,55815,63151,67847,71769,75111,78587,81365,83717,85477,86493,86222,83090,76860,69395,62265,55143,47463
Uber,257,172,158,346,571,883,1357,1694,1706,1249,1032,1055,1060,1277,1454,1766,2186,2348,2155,1910,1847,1378,1020,573,268,139,125,220,370,797,1668,2308,2511,2021,1804,1360,1265,1407,1757,2129,2542,2744,2582,2279,2123,1793,1233,647,363,204,156,257,437,774,1553,1963,1675,1283,1235,1195,1312,1557,1768,2154,2519,2750,2764,2511,2479,2168,1617,837,408,242,168,273,455,857,1439,1914,1820,1349,1280,1319,1303,1603,1866,2272,2685,3133,3225,3206,2877,2836,2271,1473,656,432,268,374,467,784,1403,1799,1770,1380,1322,1307,1356,1570,1919,2267,2510,2896,3210,2936,2625,2758,2709,2299,1701,1164,717,499,386,373,547,741,906,1114,1269,1434,1532,1672,1977,2157,2453,2660,2675,2666,2452,2522,2653,2592,2443,2025,1164,583,379,400,432,561,723,932,1122,1258,1348,1474,1549,1565,1683,1654,1684,1530,1378,1230,932,571
